date_key,date
25567,12/31/2019
25568,01/01/2020
25569,01/02/2020
25570,01/03/2020
25571,01/04/2020
25572,01/05/2020
25573,01/06/2020
25574,01/07/2020
25575,01/08/2020
25576,01/09/2020
25577,01/10/2020
25578,01/11/2020
25579,01/12/2020
25580,01/13/2020
25581,01/14/2020
25582,01/15/2020
25583,01/16/2020
25584,01/17/2020
25585,01/18/2020
25586,01/19/2020
25587,01/20/2020
25588,01/21/2020
25589,01/22/2020
25590,01/23/2020
25591,01/24/2020
25592,01/25/2020
25593,01/26/2020
25594,01/27/2020
25595,01/28/2020
25596,01/29/2020
25597,01/30/2020
25598,01/31/2020
25599,02/01/2020
25600,02/02/2020
25601,02/03/2020
25602,02/04/2020
25603,02/05/2020
25604,02/06/2020
25605,02/07/2020
25606,02/08/2020
25607,02/09/2020
25608,02/10/2020
25609,02/11/2020
25610,02/12/2020
25611,02/13/2020
25612,02/14/2020
25613,02/15/2020
25614,02/16/2020
25615,02/17/2020
25616,02/18/2020
25617,02/19/2020
25618,02/20/2020
25619,02/21/2020
25620,02/22/2020
25621,02/23/2020
25622,02/24/2020
25623,02/25/2020
25624,02/26/2020
25625,02/27/2020
25626,02/28/2020
25627,02/29/2020
25628,03/01/2020
25629,03/02/2020
25630,03/03/2020
25631,03/04/2020
25632,03/05/2020
25633,03/06/2020
25634,03/07/2020
25635,03/08/2020
25636,03/09/2020
25637,03/10/2020
25638,03/11/2020
25639,03/12/2020
25640,03/13/2020
25641,03/14/2020
25642,03/15/2020
25643,03/16/2020
25644,03/17/2020
25645,03/18/2020
25646,03/19/2020
25647,03/20/2020
25648,03/21/2020
25649,03/22/2020
25650,03/23/2020
25651,03/24/2020
25652,03/25/2020
25653,03/26/2020
25654,03/27/2020
25655,03/28/2020
25656,03/29/2020
25657,03/30/2020
25658,03/31/2020
25659,04/01/2020
25660,04/02/2020
25661,04/03/2020
25662,04/04/2020
25663,04/05/2020
25664,04/06/2020
25665,04/07/2020
25666,04/08/2020
25667,04/09/2020
25668,04/10/2020
25669,04/11/2020
25670,04/12/2020
25671,04/13/2020
25672,04/14/2020
25673,04/15/2020
25674,04/16/2020
25675,04/17/2020
25676,04/18/2020
25677,04/19/2020
25678,04/20/2020
25679,04/21/2020
25680,04/22/2020
25681,04/23/2020
25682,04/24/2020
25683,04/25/2020
25684,04/26/2020
25685,04/27/2020
25686,04/28/2020
25687,04/29/2020
25688,04/30/2020
25689,05/01/2020
25690,05/02/2020
25691,05/03/2020
25692,05/04/2020
25693,05/05/2020
25694,05/06/2020
25695,05/07/2020
25696,05/08/2020
25697,05/09/2020
25698,05/10/2020
25699,05/11/2020
25700,05/12/2020
25701,05/13/2020
25702,05/14/2020
25703,05/15/2020
25704,05/16/2020
25705,05/17/2020
25706,05/18/2020
25707,05/19/2020
25708,05/20/2020
